Item,Price ea (USD),Qty,Price Total (USD),Link,notes
components,17.82,1,13.87,https://lcsc.com,"for 3 modules accounting for MOQ, see bom-lcsc-minimum-system.xls and excl shipping"
MX keyswitches 110 pcs,19.62,1,19.62,https://www.aliexpress.com/item/1005008998414457.html?spm=a2g0o.productlist.main.2.7e191f869oEPZU&algo_pvid=95b6edf6-7544-4d01-a7f5-66065c31a300&algo_exp_id=95b6edf6-7544-4d01-a7f5-66065c31a300-1&pdp_ext_f=%7B%22order%22%3A%22316%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.87%211.43%21%21%215.43%210.98%21%4021033d9d17820484733033637e58b6%2112000047513088834%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62728f28%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=2fVVZGWjHTVD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008998414457%7C_p_origin_prod%3A,
M3 screw 100pcs,1.25,1,1.25,https://www.aliexpress.com/item/32869840993.html,
M3 heat set insert,1,1,1,https://www.aliexpress.com/item/1005004870993068.html?algo_exp_id=5ee8bedb-45af-4e4b-8e6d-188ea2e7d1e9-2&pdp_ext_f=%7B%22order%22%3A%221246%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004870993068%7C_p_origin_prod%3A,
Kailh hot swap sockets 110 pcs,5.61,1,5.61,https://www.aliexpress.com/item/1005004290562374.html?spm=a2g0o.detail.pcDetailBottomMoreThisSeller.2.727aCn8JCn8J5T&gps-id=pcDetailBottomMoreThisSeller&scm=1007.10668.445195.0&scm_id=1007.10668.445195.0&scm-url=1007.10668.445195.0&pvid=bd31579f-c90f-446e-b963-144d535a37dc&_t=gps-id%3ApcDetailBottomMoreThisSeller%2Cscm-url%3A1007.10668.445195.0%2Cpvid%3Abd31579f-c90f-446e-b963-144d535a37dc%2Ctpp_buckets%3A668%232846%238113%231998&pdp_ext_f=%7B%22order%22%3A%22215%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%223339%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21AUD%214.91%211.43%21%21%213.40%210.99%21%40213ba0c517812681707858371e4566%2112000028647038706%21rec%21AU%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A62728f28%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&utparam-url=scene%3ApcDetailBottomMoreThisSeller%7Cquery_from%3A%7Cx_object_id%3A1005004290562374%7C_p_origin_prod%3A,
PCB 5pcsof each,49.59,1,49.59,https://jlcpcb.com,including shipping
Stabiliser set,1.53,1,1.53,https://www.aliexpress.com/item/1005001543613992.html?spm=a2g0o.productlist.main.3.6364ziF6ziF6nC&algo_pvid=01a3a4de-0659-4617-bf4e-35c3123bec14&algo_exp_id=01a3a4de-0659-4617-bf4e-35c3123bec14-2&pdp_ext_f={%22order%22%3A%2253%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!AUD!7.36!1.43!!!5.08!0.99!%40210311c217820485284218357e7cb9!12000016519949076!sea!AU!0!ABX!1!0!n_tag%3A-29910%3Bd%3A62728f28%3Bm03_new_user%3A-29895%3BpisId%3A5000000209518585&curPageLogUid=S7IBJ0clB4Oz&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005001543613992|_p_origin_prod%3A,
134 key keycap set,3.17,1,3.17,https://www.aliexpress.com/item/1005010601642425.html?spm=a2g0o.productlist.main.24.3f144d54KLz34U&aem_p4p_detail=202606210629565832799410249750002134707&algo_pvid=6d9bd863-92d6-4032-9935-1d4d6ce8e68b&algo_exp_id=6d9bd863-92d6-4032-9935-1d4d6ce8e68b-23&pdp_ext_f={%22order%22%3A%22313%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!AUD!27.23!1.43!!!127.47!6.67!%402101e62517820485964802214ecf8b!12000052943353283!sea!AU!0!ABX!1!0!n_tag%3A-29910%3Bd%3A62728f28%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=OfD1pAizMWyY&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005010601642425|_p_origin_prod%3A&search_p4p_id=202606210629565832799410249750002134707_6,
1N4148W,0.0246,100,2.46,https://www.lcsc.com/product-detail/C176288.html,"for each keyswitch, not incl in lcsc bom"
pogo pins 5pin 5pk,6.46,4,25.84,https://www.aliexpress.com/item/1005005284441979.html?spm=a2g0o.productlist.main.2.3b42105eQVMicD&algo_pvid=5c881f1e-124d-4eef-a320-800afefe8f61&algo_exp_id=5c881f1e-124d-4eef-a320-800afefe8f61-1&pdp_ext_f=%7B%22order%22%3A%227633%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2113.61%211.41%21%21%2165.37%216.77%21%402101e2b417771237508795677e14f7%2112000046387602819%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A62728f28%3Bm03_new_user%3A-29895%3BpisId%3A5000000203297592&curPageLogUid=fmbIcUrpBbfC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005284441979%7C_p_origin_prod%3A,
hub components,19.51,1,19.51,https://lcsc.com,"see bom-lcsc-hub.xls, excl shipping"
,,,,,
,,,,,
,,,,,
,,,,,
TOTAL,,,143.45,,
