"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"C1, C2, C19, C20","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",4,"15pF",,,
2,"C3, C4, C6","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",3,"4.7uF",,,
3,"C5, C8, C9, C10, C11, C12, C13, C14, C17, C22, C24","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",11,"100nF",,,
4,"C7, C15, C18","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",3,"10uF",,,
5,"C16, C21, C23","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",3,"1uF",,,
6,"D1, D2, D3, D4","D_SOD-323",4,"1N5819WS",,,
7,"J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12",1,"USB_C_Receptacle_USB2.0_14P",,,
8,"J2, J3, J4, J5, J6, J7","pogo 5pin 2.54",6,"Conn_01x05_Socket",,,
9,"L1","INDC1608X95N",1,"3.3uF",,,
10,"R1, R6, R8","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",3,"1kR",,,
11,"R2","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",1,"33R",,,
12,"R3, R4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"27R",,,
13,"R5, R7, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",14,"10kR",,,
14,"R9, R10","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"5k1R",,,
15,"SW1","SW_Push_SPST_NO_Alps_SKRK",1,"BOOTSEL",,,
16,"SW2","SW_Push_SPST_NO_Alps_SKRK",1,"RESET",,,
17,"U1","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",1,"RP2350_60QFN",,,
18,"U2","SOT-23",1,"MCP1700x-300xxTT",,,
19,"U3","SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL",1,"SL2.1S",,,
20,"U4, U5, U6, U7","SOT-666",4,"USBLC6-2P6",,,
21,"USB1, USB2, USB3","USB-A-TH_U-A-24DD-Y-13",3,"TYPE-A-AF90",,,
22,"Y1, Y2","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",2,"ABM8-272-T3",,,
