"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"C1, C2","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",2,"0.1uF",,,
2,"C3, C4, C5, C6","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",4,"4.7uF",,,
3,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",11,"100nF",,,
4,"J9, J10, J15, J16","pogo 5pin 2.54",4,"Conn_01x05_Pin",,,
5,"J11, J12, J13, J14","pogo 5pin 2.54",4,"Conn_01x05_Socket",,,
6,"L1","INDC1608X95N",1,"3.3uF",,,
7,"R1, R2, R3, R4, R5, R6, R7, R9","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",8,"10kR",,,
8,"R8, R10","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"1kR",,,
9,"SW1, SW2","SW_Push_SPST_NO_Alps_SKRK",2,"BOOTSEL",,,
10,"U1","VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL",1,"TCA4307DGKR",,,
11,"U2","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",1,"RP2350_60QFN",,,
12,"U3","CONN-SMD-3P-P1.00_BM03B-SRSS-TB-LF-SN",1,"BM03B-SRSS-TB",,,
